snapshot_date,origin,dest,airline,dep_date,days_to_dep,min_fare,currency
2025-01-14,BER,LHR,BA,2025-01-15,1,148.48,USD
2025-01-14,BER,LHR,LH,2025-01-15,1,172.05,USD
2025-01-14,BER,LHR,EW,2025-01-15,1,187.6,USD
2025-01-14,BER,LHR,U2,2025-01-15,1,147.01,USD
2025-01-12,BER,LHR,BA,2025-01-15,3,144.06,USD
2025-01-12,BER,LHR,LH,2025-01-15,3,141.92,USD
2025-01-12,BER,LHR,EW,2025-01-15,3,140.9,USD
2025-01-12,BER,LHR,U2,2025-01-15,3,142.67,USD
2025-01-08,BER,LHR,BA,2025-01-15,7,111.41,USD
2025-01-08,BER,LHR,LH,2025-01-15,7,120.04,USD
2025-01-08,BER,LHR,EW,2025-01-15,7,143.38,USD
2025-01-08,BER,LHR,U2,2025-01-15,7,109.89,USD
2025-01-01,BER,LHR,BA,2025-01-15,14,128.53,USD
2025-01-01,BER,LHR,LH,2025-01-15,14,114.92,USD
2025-01-01,BER,LHR,EW,2025-01-15,14,128.28,USD
2025-01-01,BER,LHR,U2,2025-01-15,14,127.06,USD
2025-01-15,BER,LHR,BA,2025-01-16,1,186.84,USD
2025-01-15,BER,LHR,LH,2025-01-16,1,160.96,USD
2025-01-15,BER,LHR,EW,2025-01-16,1,188.67,USD
2025-01-15,BER,LHR,U2,2025-01-16,1,187.43,USD
2025-01-13,BER,LHR,BA,2025-01-16,3,150.82,USD
2025-01-13,BER,LHR,LH,2025-01-16,3,121.28,USD
2025-01-13,BER,LHR,EW,2025-01-16,3,147.76,USD
2025-01-13,BER,LHR,U2,2025-01-16,3,137.9,USD
2025-01-09,BER,LHR,BA,2025-01-16,7,141.56,USD
2025-01-09,BER,LHR,LH,2025-01-16,7,142.44,USD
2025-01-09,BER,LHR,EW,2025-01-16,7,151.99,USD
2025-01-09,BER,LHR,U2,2025-01-16,7,115.23,USD
2025-01-02,BER,LHR,BA,2025-01-16,14,121.91,USD
2025-01-02,BER,LHR,LH,2025-01-16,14,134.51,USD
2025-01-02,BER,LHR,EW,2025-01-16,14,124.32,USD
2025-01-02,BER,LHR,U2,2025-01-16,14,122.6,USD
2025-01-16,BER,LHR,BA,2025-01-17,1,210.18,USD
2025-01-16,BER,LHR,LH,2025-01-17,1,189.55,USD
2025-01-16,BER,LHR,EW,2025-01-17,1,191.74,USD
2025-01-16,BER,LHR,U2,2025-01-17,1,184.79,USD
2025-01-14,BER,LHR,BA,2025-01-17,3,169.75,USD
2025-01-14,BER,LHR,LH,2025-01-17,3,169.17,USD
2025-01-14,BER,LHR,EW,2025-01-17,3,151.29,USD
2025-01-14,BER,LHR,U2,2025-01-17,3,132.25,USD
2025-01-10,BER,LHR,BA,2025-01-17,7,133.28,USD
2025-01-10,BER,LHR,LH,2025-01-17,7,121.52,USD
2025-01-10,BER,LHR,EW,2025-01-17,7,138.25,USD
2025-01-10,BER,LHR,U2,2025-01-17,7,159.29,USD
2025-01-03,BER,LHR,BA,2025-01-17,14,140.39,USD
2025-01-03,BER,LHR,LH,2025-01-17,14,146.91,USD
2025-01-03,BER,LHR,EW,2025-01-17,14,136.8,USD
2025-01-03,BER,LHR,U2,2025-01-17,14,151.64,USD
2025-01-17,BER,LHR,BA,2025-01-18,1,188.71,USD
2025-01-17,BER,LHR,LH,2025-01-18,1,201.26,USD
2025-01-17,BER,LHR,EW,2025-01-18,1,183.36,USD
2025-01-17,BER,LHR,U2,2025-01-18,1,167.05,USD
2025-01-15,BER,LHR,BA,2025-01-18,3,130.88,USD
2025-01-15,BER,LHR,LH,2025-01-18,3,179.65,USD
2025-01-15,BER,LHR,EW,2025-01-18,3,144.1,USD
2025-01-15,BER,LHR,U2,2025-01-18,3,140.85,USD
2025-01-11,BER,LHR,BA,2025-01-18,7,121.28,USD
2025-01-11,BER,LHR,LH,2025-01-18,7,134.26,USD
2025-01-11,BER,LHR,EW,2025-01-18,7,167.64,USD
2025-01-11,BER,LHR,U2,2025-01-18,7,164.63,USD
2025-01-04,BER,LHR,BA,2025-01-18,14,136.43,USD
2025-01-04,BER,LHR,LH,2025-01-18,14,163.41,USD
2025-01-04,BER,LHR,EW,2025-01-18,14,178.5,USD
2025-01-04,BER,LHR,U2,2025-01-18,14,150.01,USD
2025-01-18,BER,LHR,BA,2025-01-19,1,201.58,USD
2025-01-18,BER,LHR,LH,2025-01-19,1,190.78,USD
2025-01-18,BER,LHR,EW,2025-01-19,1,167.74,USD
2025-01-18,BER,LHR,U2,2025-01-19,1,209.7,USD
2025-01-16,BER,LHR,BA,2025-01-19,3,165.69,USD
